Energe/kal,Protain/g,Suger/g,Fat/g,Water/g,Fiber/g,Ash/g,VA/mcg,Carotene/mcg,Retinol/mcg,VB1/mg,VB2/mg,VB3/mg,VC/mg,VE/mg,K/mg,Na/mg,Ca/mg,Mg/mg,Fe/mg,Mn/mg,Zn/mg,Cu/mg,P/mg,Se/mcg,tag
110,20.2,0.2,3.1,75.1,0,1.4,40,0,40,0.04,0.32,6.3,0,0.44,204,48.4,48,20,2.3,0.08,1.19,0.1,179,11.67,1
110,22.2,0,3.2,75.1,0,1.3,21,0,21,0.01,0.05,3.1,0,0.58,285,102.2,41,30,0.9,0.03,0.73,0.06,212,57.02,1
109,17.6,0.5,4.1,76.7,0,1.1,25,0,25,0.03,0.09,2.7,0,1.27,334,53.7,50,33,1,0.05,2.08,0.06,204,15.38,1
108,17.1,3.8,2.7,75.4,0,1,17,0,17,0.04,0.09,2.5,0,0.68,290,41.2,79,41,1.3,0.06,1.94,0.08,193,14.31,1
106,25.1,19.9,1.2,71.3,2.9,0.7,0,0,0,0.16,0.11,1.8,0,0.46,238,1.1,0,32,1.1,0.22,0.9,0.09,117,1.63,1
106,20.2,1.2,2.3,75.2,0,1.1,6,0,6,0.07,0.13,6.3,0,0.35,284,53.6,9,21,2.8,0.04,3.71,0.16,172,10.55,1
104,8.8,16.4,0.4,70.2,3.1,1.1,0,310,52,0.37,0.1,1.5,16,0.83,391,4,16,46,3.5,0.55,1.37,0.39,200,2.02,1
104,1.4,24.2,0.2,72.6,1,0.6,0,220,37,0.07,0.04,0.6,24,0.43,174,58.2,24,17,0.8,0.21,0.22,0.16,46,0.63,1
103,0.2,24.9,0.3,73.2,0.8,0.6,0,0,0,0.06,0.05,0.7,9,0.52,330,11.4,9,24,0.5,0.18,0.12,0.12,18,4.17,1
100,18.6,0,3.4,77.7,0,1.5,19,0,19,0.03,0.17,3.1,0,0.75,205,144.1,138,37,2,0.04,2.83,0.05,242,33.06,1
99,17.9,0.1,3,77.9,0,1.1,0,0,0,0.04,0.04,2.3,0,1.19,228,103,78,28,0.9,0.05,0.94,0.04,188,55.2,1
96,25.1,1.4,3.2,78.8,0,1.2,41,0,41,0.31,1.14,8,13,0.34,217,134.2,12,22,6.1,0.16,2.56,0.58,215,111.77,1
96,16.2,2.5,2.4,77.7,0,1.2,0,0,0,0.05,0.14,1.1,0,1.43,139,146.2,12,8,7.8,0.05,1.81,0.19,172,9.33,1
96,17.9,1.7,2,76.6,0,1.8,14,0,14,0.1,0.33,6.2,0,0.79,282,74.8,299,28,2.9,0.47,2.76,0.09,302,35.3,1
95,18.4,0.7,2.1,77.7,0,1.1,125,0,125,0.01,0.04,3,0,1.54,317,40.1,31,22,0.9,0.02,0.83,0.04,176,48.1,1
90,20.8,0,0.7,81.1,0,1.1,27,0,27,0.01,0.11,3.6,0,0.79,277,130,22,20,0.6,0.03,0.52,0.05,159,29.4,1
